timestamp,consumption_kwh,voltage_v,current_a,frequency_hz,meter
2020-01-01 00:00:00,0.011,260.42,0.97,49.99,BR49
2020-01-01 00:03:00,0.012,260.08,1.04,50.07,BR49
2020-01-01 00:06:00,0.012,260.03,1.05,50.04,BR49
2020-01-01 00:09:00,0.011,260.01,0.9,50.0,BR49
2020-01-01 00:12:00,0.012,260.29,0.97,50.0,BR49
2020-01-01 00:15:00,0.01,260.25,0.94,50.01,BR49
2020-01-01 00:18:00,0.01,260.23,0.84,49.92,BR49
2020-01-01 00:21:00,0.009,260.58,0.81,49.97,BR49
2020-01-01 00:24:00,0.008,260.42,0.71,50.02,BR49
2020-01-01 00:27:00,0.008,260.56,0.72,49.94,BR49
2020-01-01 00:30:00,0.009,260.72,0.82,49.98,BR49
2020-01-01 00:33:00,0.009,261.01,0.83,50.03,BR49
2020-01-01 00:36:00,0.007,261.26,0.64,50.06,BR49
2020-01-01 00:39:00,0.008,261.22,0.73,50.05,BR49
2020-01-01 00:42:00,0.005,261.22,0.53,50.0,BR49
2020-01-01 00:45:00,0.005,261.21,0.55,50.0,BR49
2020-01-01 00:48:00,0.007,261.37,0.65,49.98,BR49
2020-01-01 00:51:00,0.005,261.61,0.51,49.99,BR49
2020-01-01 00:54:00,0.006,261.83,0.63,50.06,BR49
2020-01-01 00:57:00,0.005,262.16,0.59,50.07,BR49
2020-01-01 01:00:00,0.006,262.3,0.56,50.1,BR49
2020-01-01 01:03:00,0.004,262.27,0.54,50.1,BR49
2020-01-01 01:06:00,0.005,262.07,0.56,50.04,BR49
2020-01-01 01:09:00,0.004,262.07,0.53,50.03,BR49
2020-01-01 01:12:00,0.004,262.02,0.52,50.04,BR49
2020-01-01 01:15:00,0.004,262.14,0.51,50.05,BR49
2020-01-01 01:18:00,0.004,262.52,0.45,50.04,BR49
2020-01-01 01:21:00,0.006,262.43,0.54,50.02,BR49
2020-01-01 01:24:00,0.006,262.12,0.66,49.98,BR49
2020-01-01 01:27:00,0.005,262.15,0.59,50.0,BR49
2020-01-01 01:30:00,0.005,262.16,0.48,49.97,BR49
2020-01-01 01:33:00,0.006,262.09,0.63,50.0,BR49
2020-01-01 01:36:00,0.004,262.17,0.47,50.0,BR49
2020-01-01 01:39:00,0.006,262.24,0.59,49.97,BR49
2020-01-01 01:42:00,0.005,262.54,0.53,50.05,BR49
2020-01-01 01:45:00,0.004,262.35,0.51,50.0,BR49
2020-01-01 01:48:00,0.005,262.37,0.52,50.01,BR49
2020-01-01 01:51:00,0.003,262.64,0.41,50.04,BR49
2020-01-01 01:54:00,0.005,262.69,0.55,50.01,BR49
2020-01-01 01:57:00,0.003,262.55,0.43,50.0,BR49
2020-01-01 02:00:00,0.005,262.86,0.52,50.05,BR49
2020-01-01 02:03:00,0.003,262.95,0.4,50.1,BR49
2020-01-01 02:06:00,0.004,262.58,0.42,50.07,BR49
2020-01-01 02:09:00,0.004,262.55,0.45,50.02,BR49
2020-01-01 02:12:00,0.003,262.43,0.45,49.98,BR49
2020-01-01 02:15:00,0.005,262.51,0.58,49.99,BR49
2020-01-01 02:18:00,0.005,263.28,0.56,50.05,BR49
2020-01-01 02:21:00,0.005,263.33,0.59,50.09,BR49
2020-01-01 02:24:00,0.005,263.19,0.52,50.04,BR49
2020-01-01 02:27:00,0.005,263.31,0.57,50.04,BR49
2020-01-01 02:30:00,0.005,263.15,0.52,50.06,BR49
